x	f'''(x) левая	f'''(x) центральная	f'''(x) правая	f'''(x) аналитическая
  -4.00000                  0.00213                  0.00655                  0.02332                 -0.23167
  -3.20000                  0.00411                  0.01616                  0.07348                 -0.34831
  -2.40000                  0.00899                  0.04840                      inf                 -0.57131
  -1.60000                  0.02332                      inf                     -inf                 -1.03984
  -0.80000                  0.07348                     -inf                      inf                 -1.79752
   0.80000                     -inf                      inf                 -0.07348                  1.79752
   1.60000                      inf                     -inf                 -0.02332                  1.03984
   2.40000                     -inf                 -0.04840                 -0.00899                  0.57131
   3.20000                 -0.07348                 -0.01616                 -0.00411                  0.34831
   4.00000                 -0.02332                 -0.00655                 -0.00213                  0.23167
